"","X","Group.1","x","SH_max.x","SH_min.x","SH_sd.x","T_mean.x","T_max.x","T_min.x","T_sd.x","Rad_mean.x","Rad_max.x","Rad_min.x","Rad_sd.x","Per_mean.x","Per_max.x","Per_min.x","Per_sd.x","Per_sum.x","date","cum_rad","i.X","i.Group.1","Mean_snowheight","SH_max.Max_snowheight","SH_min.Min_snowheight","SH_sd.SD_snowheight","TS_0_mean.Mean_t_snow_0cm","TS_0_max.Max_t_snow_0cm","TS_0_min.Min_t_snow_0cm","TS_0_sd.SD_t_snow_0cm","TS_5_mean.Mean_t_snow_5cm","TS_5_max.Max_t_snow_5cm","TS_5_min.Min_t_snow_5cm","TS_5_sd.SD_t_snow_5cm","TS_50_mean.Mean_t_snow_50cm","TS_50_max.Max_t_snow_50cm","TS_50_min.Min_t_snow_50cm","TS_50_sd.SD_t_snow_50cm","TS_100_mean.Mean_t_snow_100cm","TS_100_max.Max_t_snow_100cm","TS_100_min.Min_t_snow_100cm","TS_100_sd.SD_t_snow_100cm","IC_mean.Mean_ice_content","IC_max.Max_ice_content","IC_min.Min_ice_content","IC_sd.SD_ice_content","WC_mean.Mean_water_content","WC_max.Max_water_content","WC_min.Min_water_content","WC_sd.SD_water_content","SD_mean.Mean_snow_density","SD_max.Max_snow_density","SD_min.Min_snow_density","SD_sd.SD_snow_density"
"1",1,"2014-01-01",100.370833333333,101.4,96.7,0.808596729729147,-2.10277777777778,0.5,-4.7,1.33033170291564,46.2777777777778,242,0,80.6881629644624,0.243055555555556,3,0,0.545118551009076,35,2014-01-01,46.2777777777778,1,"2014-01-01",31.5604166666667,37.2,24.1,2.09642448692306,-1.76458333333333,-1.6,-1.9,0.116155640703036,-3.07152777777778,-2.6,-3.4,0.226454334594341,-5.31944444444444,5.2,-9.6,3.84651831994899,-4.19930555555556,4,-7.5,2.48858924643088,4.44722222222222,8.7,1,2.86985646785273,1.6625,3.5,0.7,0.732547523458973,57.3125,104,17,32.6910669242127
"2",2,"2014-01-02",101.011111111111,101.8,100,0.454520589840511,-1.31041666666667,0.9,-4,1.24735909836731,28.6875,221,0,49.5335541780568,0.256944444444444,4,0,0.588307133736523,37,2014-01-02,74.9652777777778,2,"2014-01-02",31.13125,33.7,28.5,1.22282881659099,-1.83472222222222,-1.6,-1.9,0.0963091209359049,-3.3875,-2.8,-3.9,0.338832838295954,-3.79722222222222,-0.3,-8.4,1.85980465341749,-3.25277777777778,-0.5,-6.9,1.58572938565749,10.1555555555556,13.7,0.6,4.14782406141394,2.64166666666667,3.4,0.7,0.844521629809908,119.4375,159,15,46.4366202775052
"3",3,"2014-01-03",99.5270833333333,100.8,96.1,0.713135374902313,0.0708333333333333,4,-3.1,1.84826038034862,46,250,0,74.7877182243368,0.229166666666667,2,0,0.468873818145839,33,2014-01-03,120.965277777778,3,"2014-01-03",31.1458333333333,32.4,28,1.12130512119814,-1.77777777777778,-1.6,-1.9,0.120861965099094,-2.8625,-2.6,-3.1,0.174562389912684,-4.23819444444444,3.6,-9,3.51225619371916,-2.59791666666667,4,-6.6,2.84768262428792,11.4395833333333,14.6,9.1,1.6195578585968,2.94722222222222,4.4,2.2,0.534141287775917,134.291666666667,172,107,18.2981809635118
"4",4,"2014-01-04",100.4,101.3,99.5,0.339635264182116,0.713286713286713,2.8,-2.3,1.19789943864413,30.1958041958042,202,0,48.0302514327563,0.636363636363636,43,0,3.79871263320277,91,2014-01-04,151.161081973582,4,"2014-01-04",31.0243055555556,32.4,29.4,0.631265410006772,-1.65277777777778,-1.3,-1.8,0.162129381316084,-2.45208333333333,-1.8,-2.7,0.310643084381619,-1.53541666666667,0,-4.8,1.03372966871036,-0.992361111111111,2.2,-3.4,1.27427916610231,13.93125,19.7,9,3.30408665690893,3.14375,5.8,2.2,0.679543115743104,158.944444444444,238,105,36.0302471567808
"5",5,"2014-01-05",100.573611111111,104.7,98.5,1.09371926641247,-2.80763888888889,2.4,-6.1,3.20840417080397,19.0069444444444,91,0,28.3924782041004,1.70833333333333,65,0,9.06455094950014,246,2014-01-05,170.168026418026,5,"2014-01-05",26.74375,32.6,12.5,5.86515988908022,-1.275,-1.2,-1.3,0.0434524094626741,-1.77013888888889,-1.7,-1.9,0.0739304730183356,-3.77013888888889,-0.4,-8.6,2.2647521008881,-4.23333333333333,0.2,-8.8,2.83519341109591,14.4243055555556,16.3,12.6,0.988057819984871,3.18958333333333,3.5,2.6,0.314391130944852,163.8125,179,143,11.6216392991695
"6",6,"2014-01-06",103.425,104.5,100.8,0.962405203759714,1.37638888888889,7.3,-6.2,4.55872307773307,51.8541666666667,260,0,89.0596538313474,0.256944444444444,2,0,0.483959886475286,37,2014-01-06,222.022193084693,6,"2014-01-06",32.3506944444444,36.5,23.8,3.08726227029116,-1.36458333333333,-1.2,-1.5,0.0904292405831629,-1.97222222222222,-1.6,-2.2,0.171967001406228,-1.62916666666667,8,-10.5,5.44473666421594,-0.310416666666667,9,-9.4,5.56250834838692,9.53819444444444,14.9,3.4,5.09049568976552,2.70486111111111,5.1,0.9,1.20652827156494,114.458333333333,171,46,56.6600554898412
