DateTime,Time,Time,corImpulses,Distance,AccuDist
13.11.2016,0.155162,03:43:26,1,0.785,78.5
13.11.2016,0.18103,04:20:41,0,0.785,79.285
13.11.2016,0.238657,05:43:40,1,0.785,80.07
13.11.2016,0.273588,06:33:58,0,0.785,80.855
13.11.2016,0.363657,08:43:40,1,0.785,81.64
13.11.2016,0.422442,10:08:19,0,0.785,82.425
13.11.2016,0.558438,13:24:09,1,0.785,83.21
13.11.2016,0.620509,14:53:32,0,0.785,83.995
13.11.2016,0.731933,17:33:59,1,0.785,84.78
13.11.2016,0.795162,19:05:02,0,0.785,85.565
13.11.2016,0.87272,20:56:43,1,0.785,86.35
13.11.2016,0.926285,22:13:51,0,0.785,87.135
14.11.2016,0.011701,00:16:51,1,0.785,87.92
14.11.2016,0.043715,01:02:57,0,0.785,88.705
14.11.2016,0.104167,02:30:00,1,0.785,89.49
14.11.2016,0.136609,03:16:43,0,0.785,90.275
14.11.2016,0.206366,04:57:10,1,0.785,91.06
14.11.2016,0.244433,05:51:59,0,0.785,91.845
14.11.2016,0.313368,07:31:15,1,0.785,92.63
14.11.2016,0.35184,08:26:39,0,0.785,93.415
14.11.2016,0.40853,09:48:17,1,0.785,94.2
14.11.2016,0.442106,10:36:38,0,0.785,94.985
14.11.2016,0.490856,11:46:50,1,0.785,95.77
14.11.2016,0.52228,12:32:05,0,0.785,96.555
14.11.2016,0.576215,13:49:45,1,0.785,97.34
14.11.2016,0.601273,14:25:50,0,0.785,98.125
14.11.2016,0.64485,15:28:35,1,0.785,98.91
14.11.2016,0.670417,16:05:24,0,0.785,99.695
14.11.2016,0.724468,17:23:14,1,0.785,100.48
14.11.2016,0.758993,18:12:57,0,0.785,101.265
14.11.2016,0.825868,19:49:15,1,0.785,102.05
14.11.2016,0.864097,20:44:18,0,0.785,102.835
14.11.2016,0.93169,22:21:38,1,0.785,103.62
14.11.2016,0.975023,23:24:02,0,0.785,104.405
15.11.2016,0.050509,01:12:44,1,0.785,105.19
15.11.2016,0.101065,02:25:32,0,0.785,105.975
15.11.2016,0.243368,05:50:27,1,0.785,106.76
15.11.2016,0.411863,09:53:05,0,0.785,107.545
15.11.2016,0.639051,15:20:14,1,0.785,108.33
15.11.2016,0.682928,16:23:25,0,0.785,109.115
15.11.2016,0.765949,18:22:58,1,0.785,109.9
15.11.2016,0.811771,19:28:57,0,0.785,110.685
15.11.2016,0.887407,21:17:52,1,0.785,111.47
15.11.2016,0.923576,22:09:57,0,0.785,112.255
15.11.2016,0.991528,23:47:48,1,0.785,113.04
16.11.2016,0.027627,00:39:47,0,0.785,113.825
16.11.2016,0.080903,01:56:30,1,0.785,114.61
16.11.2016,0.1075,02:34:48,0,0.785,115.395
16.11.2016,0.163623,03:55:37,1,0.785,116.18
16.11.2016,0.195822,04:41:59,0,0.785,116.965
16.11.2016,0.238623,05:43:37,1,0.785,117.75
16.11.2016,0.262118,06:17:27,0,0.785,118.535
16.11.2016,0.303519,07:17:04,1,0.785,119.32
16.11.2016,0.321979,07:43:39,0,0.785,120.105
16.11.2016,0.355961,08:32:35,1,0.785,120.89
16.11.2016,0.377905,09:04:11,0,0.785,121.675
16.11.2016,0.415637,09:58:31,1,0.785,122.46
16.11.2016,0.435058,10:26:29,0,0.785,123.245
16.11.2016,0.472975,11:21:05,1,0.785,124.03
16.11.2016,0.493831,11:51:07,0,0.785,124.815
16.11.2016,0.535602,12:51:16,1,0.785,125.6
16.11.2016,0.556157,13:20:52,0,0.785,126.385
16.11.2016,0.594919,14:16:41,1,0.785,127.17
16.11.2016,0.618194,14:50:12,0,0.785,127.955
16.11.2016,0.660498,15:51:07,1,0.785,128.74
16.11.2016,0.688623,16:31:37,0,0.785,129.525
16.11.2016,0.728171,17:28:34,1,0.785,130.31
16.11.2016,0.75434,18:06:15,0,0.785,131.095
16.11.2016,0.801285,19:13:51,1,0.785,131.88
16.11.2016,0.827431,19:51:30,0,0.785,132.665
16.11.2016,0.867037,20:48:32,1,0.785,133.45
16.11.2016,0.888623,21:19:37,0,0.785,134.235
16.11.2016,0.928831,22:17:31,1,0.785,135.02
16.11.2016,0.948229,22:45:27,0,0.785,135.805
16.11.2016,0.98941,23:44:45,1,0.785,136.59
17.11.2016,0.016088,00:23:10,0,0.785,137.375
17.11.2016,0.060359,01:26:55,1,0.785,138.16
17.11.2016,0.088044,02:06:47,0,0.785,138.945
17.11.2016,0.1364,03:16:25,1,0.785,139.73
17.11.2016,0.165544,03:58:23,0,0.785,140.515
17.11.2016,0.218113,05:14:05,1,0.785,141.3
17.11.2016,0.248102,05:57:16,0,0.785,142.085
17.11.2016,0.304919,07:19:05,1,0.785,142.87
17.11.2016,0.335891,08:03:41,0,0.785,143.655
17.11.2016,0.391238,09:23:23,1,0.785,144.44
17.11.2016,0.415903,09:58:54,0,0.785,145.225
17.11.2016,0.462951,11:06:39,1,0.785,146.01
17.11.2016,0.491435,11:47:40,0,0.785,146.795
17.11.2016,0.531111,12:44:48,1,0.785,147.58
17.11.2016,0.556667,13:21:36,0,0.785,148.365
17.11.2016,0.596748,14:19:19,1,0.785,149.15
17.11.2016,0.620046,14:52:52,0,0.785,149.935
17.11.2016,0.667616,16:01:22,1,0.785,150.72
17.11.2016,0.697847,16:44:54,0,0.785,151.505
17.11.2016,0.755694,18:08:12,1,0.785,152.29
17.11.2016,0.793194,19:02:12,0,0.785,153.075
17.11.2016,0.872118,20:55:51,1,0.785,153.86
17.11.2016,0.925868,22:13:15,0,0.785,154.645
18.11.2016,0.055104,01:19:21,1,0.785,155.43
18.11.2016,0.122396,02:56:15,0,0.785,156.215
18.11.2016,0.275799,06:37:09,1,0.785,157
18.11.2016,0.360556,08:39:12,0,0.785,157.785
18.11.2016,0.467083,11:12:36,1,0.785,158.57
18.11.2016,0.579514,13:54:30,0,0.785,159.355
18.11.2016,0.695498,16:41:31,1,0.785,160.14
18.11.2016,0.761111,18:16:00,0,0.785,160.925
18.11.2016,0.874711,20:59:35,1,0.785,161.71
18.11.2016,0.929155,22:17:59,0,0.785,162.495
19.11.2016,0.021366,00:30:46,1,0.785,163.28
19.11.2016,0.069803,01:40:31,0,0.785,164.065
19.11.2016,0.180301,04:19:38,1,0.785,164.85
19.11.2016,0.238218,05:43:02,0,0.785,165.635
