"","X","Group.1","x","SH_max.x","SH_min.x","SH_sd.x","T_mean.x","T_max.x","T_min.x","T_sd.x","Rad_mean.x","Rad_max.x","Rad_min.x","Rad_sd.x","Per_mean.x","Per_max.x","Per_min.x","Per_sd.x","Per_sum.x","date","cum_rad"
"1",1,"2014-01-01",100.370833333333,101.4,96.7,0.808596729729147,-2.10277777777778,0.5,-4.7,1.33033170291564,46.2777777777778,242,0,80.6881629644624,0.243055555555556,3,0,0.545118551009076,35,2014-01-01,46.2777777777778
"2",2,"2014-01-02",101.011111111111,101.8,100,0.454520589840511,-1.31041666666667,0.9,-4,1.24735909836731,28.6875,221,0,49.5335541780568,0.256944444444444,4,0,0.588307133736523,37,2014-01-02,74.9652777777778
"3",3,"2014-01-03",99.5270833333333,100.8,96.1,0.713135374902313,0.0708333333333333,4,-3.1,1.84826038034862,46,250,0,74.7877182243368,0.229166666666667,2,0,0.468873818145839,33,2014-01-03,120.965277777778
"4",4,"2014-01-04",100.4,101.3,99.5,0.339635264182116,0.713286713286713,2.8,-2.3,1.19789943864413,30.1958041958042,202,0,48.0302514327563,0.636363636363636,43,0,3.79871263320277,91,2014-01-04,151.161081973582
"5",5,"2014-01-05",100.573611111111,104.7,98.5,1.09371926641247,-2.80763888888889,2.4,-6.1,3.20840417080397,19.0069444444444,91,0,28.3924782041004,1.70833333333333,65,0,9.06455094950014,246,2014-01-05,170.168026418026
"6",6,"2014-01-06",103.425,104.5,100.8,0.962405203759714,1.37638888888889,7.3,-6.2,4.55872307773307,51.8541666666667,260,0,89.0596538313474,0.256944444444444,2,0,0.483959886475286,37,2014-01-06,222.022193084693
